Sequence no,School name,City,Zipcode,Total students,English score % (proficient),Maths score% (proficient),Drop-out rate %,Total incidents of violence,Performance
81,51,3,85007,321.0,29.0,21.0,0.0,2.0,High Performing
83,163,3,85038,872.0,13.0,6.0,15.72,0.0,Low Performing
84,46,3,85048,2953.0,46.0,32.0,1.34,29.0,High Performing
85,43,3,85042,303.0,34.0,9.0,0.0,0.0,Low Performing
86,41,3,85032,246.0,2.0,0.0,29.88,1.0,Low Performing
87,40,3,85051,1104.0,26.0,20.0,1.5,55.0,High Performing
88,37,3,85021,150.0,3.0,3.0,24.6,0.0,Low Performing
91,36,3,85003,90.0,6.0,0.0,10.81,2.0,Low Performing
92,32,3,85012,1901.0,18.0,9.0,6.12,29.0,Low Performing
93,31,3,85009,2218.0,11.0,6.0,5.31,41.0,Low Performing
94,29,3,85022,588.0,4.0,0.0,18.71,0.0,Low Performing
95,30,3,85017,78.0,0.0,0.0,24.26,0.0,Low Performing
96,27,3,85016,2241.0,14.0,9.0,3.87,38.0,Low Performing
97,25,3,85017,289.0,3.0,0.0,14.14,11.0,Low Performing
98,21,3,85028,745.0,56.0,30.0,0.0,0.0,High Performing
99,18,3,85044,690.0,50.0,35.0,0.0,0.0,High Performing
100,23,3,85027,1640.0,25.0,17.0,3.03,50.0,High Performing
101,3,3,85040,208.0,17.0,10.0,0.57,0.0,Low Performing
102,2,3,85006,359.0,22.0,22.0,6.09,0.0,Low Performing
